Read Date,kWh,kW
"1/1/2020 12:00:00 AM","4.2536","0.2160"
"1/2/2020 12:00:00 AM","5.1295","0.2760"
"1/3/2020 12:00:00 AM","5.0598","0.2836"
"1/4/2020 12:00:00 AM","4.3785","0.2200"
"1/5/2020 12:00:00 AM","4.4218","0.2160"
"1/6/2020 12:00:00 AM","5.2151","0.3040"
"1/7/2020 12:00:00 AM","5.3143","0.2920"
"1/8/2020 12:00:00 AM","5.3157","0.3000"
"1/9/2020 12:00:00 AM","5.3598","0.3080"
"1/10/2020 12:00:00 AM","5.3792","0.3120"
"1/11/2020 12:00:00 AM","4.6637","0.2200"
"1/12/2020 12:00:00 AM","4.7251","0.2360"
"1/13/2020 12:00:00 AM","5.2995","0.3120"
"1/14/2020 12:00:00 AM","5.1971","0.3160"
"1/15/2020 12:00:00 AM","5.1346","0.3040"
"1/16/2020 12:00:00 AM","5.2243","0.3040"
"1/17/2020 12:00:00 AM","5.3269","0.3120"
"1/18/2020 12:00:00 AM","4.8148","0.2360"
"1/19/2020 12:00:00 AM","4.5476","0.2200"
"1/20/2020 12:00:00 AM","5.3625","0.3240"
"1/21/2020 12:00:00 AM","5.2623","0.3080"
"1/22/2020 12:00:00 AM","5.4062","0.3280"
"1/23/2020 12:00:00 AM","5.5085","0.3240"
"1/24/2020 12:00:00 AM","5.1778","0.3080"
"1/26/2020 12:00:00 AM","4.5755","0.2400"
"1/27/2020 12:00:00 AM","5.2174","0.3000"
"1/28/2020 12:00:00 AM","5.3425","0.3160"
"1/29/2020 12:00:00 AM","5.2632","0.3240"
"1/30/2020 12:00:00 AM","5.2446","0.2960"
"1/31/2020 12:00:00 AM","5.0316","0.3040"
"2/1/2020 12:00:00 AM","4.3830","0.2160"
"2/2/2020 12:00:00 AM","4.2743","0.2036"
"2/3/2020 12:00:00 AM","5.0985","0.3040"
"2/4/2020 12:00:00 AM","5.0791","0.2960"
"2/5/2020 12:00:00 AM","5.2157","0.3000"
"2/6/2020 12:00:00 AM","5.4397","0.3080"
"2/7/2020 12:00:00 AM","5.3904","0.3320"
"2/8/2020 12:00:00 AM","4.4190","0.2080"
"2/9/2020 12:00:00 AM","4.6328","0.2440"
"2/10/2020 12:00:00 AM","5.5467","0.3200"
"2/11/2020 12:00:00 AM","5.5485","0.3200"
"2/12/2020 12:00:00 AM","5.5889","0.3120"
"2/13/2020 12:00:00 AM","5.7900","0.3240"
"2/14/2020 12:00:00 AM","5.8600","0.3640"
"2/15/2020 12:00:00 AM","4.8214","0.2320"
"2/16/2020 12:00:00 AM","4.9208","0.2480"
"2/17/2020 12:00:00 AM","5.6840","0.3240"
"2/18/2020 12:00:00 AM","5.7376","0.3120"
"2/19/2020 12:00:00 AM","5.4762","0.3120"
"2/20/2020 12:00:00 AM","5.4624","0.3120"
"2/21/2020 12:00:00 AM","5.4393","0.3040"
"2/22/2020 12:00:00 AM","4.6775","0.2360"
"2/23/2020 12:00:00 AM","4.4171","0.2320"
"2/24/2020 12:00:00 AM","5.5309","0.3200"
"2/25/2020 12:00:00 AM","5.4110","0.3000"
"2/26/2020 12:00:00 AM","5.2027","0.2960"
